ID	Pattern #	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4
Simulated_feature_group_A_04	2	33	8	2	10	115	1	11	0	14	7	19	37	184	48	9	21	17	2	19	37	1	9	52	130	82	1	48	51	29	13	18	43	1	147	90	63	22	2	2	9	28	92	147	2	19	209	300	36	17	6	98	9	87	26	14	91	6	16	38	1	481	547	169	66	16	90	326	241	200	15	72	81	903	2485	259	1508	88	405	571	3	510	41	2861	400	1150	771	72	656	1565	847	314	41	1103	377	572	139	319	512	2297	123	532	834	80	100	458	6903	5320	1853	4350	1708	1173	474	15615	7290	34161	15132	169	1914	266	1871	12699	8	6000	421	27862	1318	3111	12140	5774	2473	9296	7578	448	549	6809	5375	9175	353	3902	14363
Simulated_feature_group_A_05	2	34	42	0	142	90	42	413	584	3	0	16	132	470	0	334	37	50	287	270	416	106	19	6	3	24	0	154	45	116	114	53	679	383	139	361	494	477	11	28	26	785	44	243	353	11	32	814	83	32	204	457	2	409	267	109	1	641	463	840	7400	5	175	271	343	88	28	193	423	116	6	8	90	40	722	1221	11581	179	2	611	713	4529	0	38	227	1976	27850	558	797	419	32449	3605	8934	519	6043	13690	176	253	2134	128	3985	209	16711	1	2406	100	326786	4032	54554	63	30123	504	2479	64	37451	9691	643	2	1928	18912	39849	7181	29210	41515	111637	154991	69547	453	39691	93066	4195	3294	17951	78	9210	2198	12135	1486	18643	4962	15612
Simulated_feature_group_A_06	2	78	28	308	2	14	0	793	62	1384	32	229	2	1051	196	206	149	6	802	116	22	185	1	56	2236	272	36	50	2	250	39	224	22	41	696	233	426	1	8761	1270	338	12	6851	19	2259	0	735	3	4431	4	458	2068	692	7105	153	265	9	1	2	0	416	6788	27	566	260	0	220	4270	0	3645	3076	73918	169	0	256	4318	7371	25	548	23460	26001	6	6669	154	6308	11483	1507	8	230	82	7171	4423	10875	42198	3765	1450	322	532	3345	5	9	21134	1689	1225	2033	41	254	35643	53018	0	0	40818	2	95675	3140	152710	29479	0	66	15	13439	30086	2169	81748	661213	4699	293923	17416	2456	496634	10601	0	8	3978	4	25096	1450	65839	71253	547743	20806
Simulated_feature_group_A_07	4	0	2424	4	1130	204	1124	6250	4494	65	187	1	200	1532	239	162	774	9035	0	12067	5968	294	880	578	1	2934	572	356	645	2026	2012	3630	578	0	3488	648	0	1242	5343	616	577	22	1019	1174	4436	166	14	3570	3031	21768	12	4807	8155	1892	131	81078	2713	1006	50	6573	81668	7295	15	8955	3350	1268	9819	44	0	771	500	80975	3315	0	3867	10576	94533	333362	29686	3404	39	36109	2287	192	2878	1	9451	98844	5951	3734	249256	0	38	33	166206	921	43818	29694	14861	1003	41316	22409	9808	16	8885	32512	196	412162	1751650	454088	1770320	5157	1339080	945	5	3532960	198131	108367	374953	44058	583961	30298	38910	8	16993	23132	74907	57545	1	695805	69434	20632	300083	54494	77577	227697	42496	691547	1556660	141676	70124
Simulated_feature_group_A_08	2	5	29	1	14	18	1	5	65	2	3	7	12	28	0	8	33	10	121	15	1	1	9	1	113	5	38	24	0	24	6	19	23	8	28	10	134	33	237	67	5	40	93	18	47	19	114	18	349	20	77	124	94	216	16	112	24	1	108	71	11	14	61	7	101	2	10	88	30	16	85	207	1316	378	1823	440	754	654	706	500	659	29	187	91	384	388	628	179	523	348	315	46	1934	412	958	196	521	115	151	853	463	111	327	556	119	1709	98	3659	147	13243	1927	27686	3149	142	1212	1965	1485	5892	2616	308	4120	2396	3145	894	845	16776	10067	11809	7388	3887	613	6975	5815	8545	82	11859	4249	7757	672	1486	43
Simulated_feature_group_A_09	2	11	0	193	47	4	0	0	0	122	318	130	36	494	854	1433	0	187	19	267	79	72	516	219	83	0	263	308	264	0	98	3	675	34	211	0	0	2471	0	66	292	1	25	154	327	20	2758	153	527	30	164	2232	63	11	134	1795	1	3303	427	440	1756	358	1364	79	59	9	2758	267	597	1	345	309	2737	201	0	479	5532	157	2	80	25263	181	4	68	17983	1225	574	0	2890	990	0	4355	511	12612	1421	0	21282	232	22052	6380	24316	608	50406	3950	344	1860	20374	281	85641	215388	33315	1190	24352	14948	66265	55433	2000	722503	8597	16	371145	29427	3	15	7072	10671	14955	1074	78228	128104	52094	1492	1888	317631	162483	1	7685	247	31128	5932	18456
Simulated_feature_group_A_10	2	54	2	39	3	3	57	0	23	69	31	19	0	14	4	3	0	55	1	1	0	14	86	10	120	42	4	0	322	0	2	0	109	22	0	1	93	177	2	0	64	0	310	0	0	1478	20	3	12	1	137	66	0	5	0	3	1	104	0	85	30	0	14	5	297	5	4	367	11	1	81	985	216	70	682	2041	949	2064	2	550	5219	483	3	597	4	1827	2692	453	176	206	3384	0	0	0	385	472	101	21	51	96	1	0	82	2	290	1200	14773	458	12946	81	11	3	3262	227	9	2044	17453	130	35905	77	3737	373	1565	0	129	7049	25237	838	273	11935	9494	13894	6007	1109	2262	82	193	27640	31463	156	1153
Simulated_feature_group_A_11	2	36	0	0	0	50	1	0	21	28	5	1	67	4	0	3	36	31	0	0	0	0	55	19	7	20	0	39	24	3	74	31	8	0	0	0	0	0	43	18	0	0	0	56	4	0	11	64	172	23	0	0	281	0	112	22	45	4	2	7	0	0	0	0	43	29	16	36	38	3	98	953	4097	0	4	2034	56	324	5	84	10	0	91	934	188	14	1266	3368	159	1	2365	703	304	326	610	895	5	0	1	0	6	669	276	17	11	1825	238	34592	4177	823	2593	0	2565	40075	12521	927	60462	5	938	1936	9205	5888	571	0	24802	113	261	9	3097	3211	1297	511	9778	43	10312	23381	11738	1642	23967	741	34377
Simulated_feature_group_A_12	4	2754	4656	4106	6063	4763	3711	3061	7825	4237	3572	5841	5443	2877	5214	6676	3215	5262	6051	7161	5424	4838	3545	6491	4249	5671	3417	2308	4238	4760	2883	7267	4182	4408	5025	3056	16728	27466	22332	75428	13951	26281	23012	15250	36742	35909	22737	14582	23718	37166	34638	32998	32250	19426	28784	24358	31866	29044	26784	23912	21712	20402	30218	8285	29672	47566	30336	31039	16388	18463	38538	59717	99361	154570	191226	150270	118391	82371	113961	153775	108869	167184	143703	237765	80417	88571	169247	129907	163572	171483	173364	134153	233788	162399	154295	221101	218864	94510	148845	94756	198017	127075	107452	55328	103671	196787	1026620	865942	1337000	2246180	1184440	2370690	1421580	1738850	834337	1614870	1121050	2359630	2362910	1771150	2718630	638105	1203020	1321920	733412	965873	794496	1185030	2953180	1233310	1367350	1803490	1866430	1814290	1070970	892072	1298350	1897170	2639200	1335130	511502
Simulated_feature_group_A_13	2	11	8	12	27	7	9	4	14	9	23	2	8	1	3	9	9	9	4	1	13	3	3	19	6	10	8	31	8	1	6	20	16	22	10	3	41	31	10	41	16	20	16	7	34	11	41	14	42	21	24	57	28	38	39	84	44	85	9	31	47	47	56	59	98	48	33	9	34	38	16	258	238	132	674	209	234	585	198	359	404	355	322	127	97	208	131	185	464	311	199	161	281	195	534	428	306	357	676	609	112	598	217	61	298	357	2200	740	1756	6845	1347	4076	1459	1699	1833	1543	6411	2558	5461	2676	3269	1500	1470	1486	1502	1367	3588	3431	821	1107	2686	1072	4139	1938	1576	933	4812	3019	2600	4303	1355
