Order	Rt1	St1	Percentile	RT2	St2	Patterns	Genes	ARI
1	0.5	1.5	1	0.8	5	4	326	0.60294701
6	0.5	2	1	0.8	5	4	326	0.60294701
11	0.5	2.5	1	0.8	5	4	326	0.60294701
16	0.5	3	1	0.8	5	4	326	0.60294701
21	0.5	3.5	1	0.8	5	4	326	0.60294701
26	0.5	4	1	0.8	5	4	326	0.60294701
31	0.5	4.5	1	0.8	5	4	326	0.60294701
36	0.5	5	1	0.8	5	4	326	0.60294701
2	0.5	1.5	2	0.8	5	6	417	0.68745663
7	0.5	2	2	0.8	5	6	417	0.68745663
12	0.5	2.5	2	0.8	5	6	417	0.68745663
17	0.5	3	2	0.8	5	6	417	0.68745663
22	0.5	3.5	2	0.8	5	6	417	0.68745663
27	0.5	4	2	0.8	5	6	417	0.68745663
32	0.5	4.5	2	0.8	5	6	417	0.68745663
37	0.5	5	2	0.8	5	6	417	0.68745663
3	0.5	1.5	3	0.8	5	5	424	0.71154198
8	0.5	2	3	0.8	5	5	424	0.71154198
13	0.5	2.5	3	0.8	5	5	424	0.71154198
18	0.5	3	3	0.8	5	5	424	0.71154198
23	0.5	3.5	3	0.8	5	5	424	0.71154198
28	0.5	4	3	0.8	5	5	424	0.71154198
33	0.5	4.5	3	0.8	5	5	424	0.71154198
38	0.5	5	3	0.8	5	5	424	0.71154198
4	0.5	1.5	4	0.8	5	4	393	0.6089308
9	0.5	2	4	0.8	5	4	393	0.6089308
14	0.5	2.5	4	0.8	5	4	393	0.6089308
19	0.5	3	4	0.8	5	4	393	0.6089308
24	0.5	3.5	4	0.8	5	4	393	0.6089308
29	0.5	4	4	0.8	5	4	393	0.6089308
34	0.5	4.5	4	0.8	5	4	393	0.6089308
39	0.5	5	4	0.8	5	4	393	0.6089308
5	0.5	1.5	5	0.8	5	5	369	0.70284086
10	0.5	2	5	0.8	5	5	369	0.70284086
15	0.5	2.5	5	0.8	5	5	369	0.70284086
20	0.5	3	5	0.8	5	5	369	0.70284086
25	0.5	3.5	5	0.8	5	5	369	0.70284086
30	0.5	4	5	0.8	5	5	369	0.70284086
35	0.5	4.5	5	0.8	5	5	369	0.70284086
40	0.5	5	5	0.8	5	5	369	0.70284086
41	0.6	1.5	1	0.8	5	5	389	0.68753746
46	0.6	2	1	0.8	5	5	389	0.68753746
51	0.6	2.5	1	0.8	5	5	389	0.68753746
56	0.6	3	1	0.8	5	5	389	0.68753746
61	0.6	3.5	1	0.8	5	5	389	0.68753746
66	0.6	4	1	0.8	5	5	389	0.68753746
71	0.6	4.5	1	0.8	5	5	389	0.68753746
76	0.6	5	1	0.8	5	5	389	0.68753746
42	0.6	1.5	2	0.8	5	5	403	0.65192312
47	0.6	2	2	0.8	5	5	403	0.65192312
52	0.6	2.5	2	0.8	5	5	403	0.65192312
57	0.6	3	2	0.8	5	5	403	0.65192312
62	0.6	3.5	2	0.8	5	5	403	0.65192312
67	0.6	4	2	0.8	5	5	403	0.65192312
72	0.6	4.5	2	0.8	5	5	403	0.65192312
77	0.6	5	2	0.8	5	5	403	0.65192312
43	0.6	1.5	3	0.8	5	4	396	0.63600029
48	0.6	2	3	0.8	5	4	396	0.63600029
53	0.6	2.5	3	0.8	5	4	396	0.63600029
58	0.6	3	3	0.8	5	4	396	0.63600029
63	0.6	3.5	3	0.8	5	4	396	0.63600029
68	0.6	4	3	0.8	5	4	396	0.63600029
73	0.6	4.5	3	0.8	5	4	396	0.63600029
78	0.6	5	3	0.8	5	4	396	0.63600029
44	0.6	1.5	4	0.8	5	4	364	0.72726271
49	0.6	2	4	0.8	5	4	364	0.72726271
54	0.6	2.5	4	0.8	5	4	364	0.72726271
59	0.6	3	4	0.8	5	4	364	0.72726271
64	0.6	3.5	4	0.8	5	4	364	0.72726271
69	0.6	4	4	0.8	5	4	364	0.72726271
74	0.6	4.5	4	0.8	5	4	364	0.72726271
79	0.6	5	4	0.8	5	4	364	0.72726271
45	0.6	1.5	5	0.8	5	5	354	0.74458381
50	0.6	2	5	0.8	5	5	354	0.74458381
55	0.6	2.5	5	0.8	5	5	354	0.74458381
60	0.6	3	5	0.8	5	5	354	0.74458381
65	0.6	3.5	5	0.8	5	5	354	0.74458381
70	0.6	4	5	0.8	5	5	354	0.74458381
75	0.6	4.5	5	0.8	5	5	354	0.74458381
80	0.6	5	5	0.8	5	5	354	0.74458381
81	0.7	1.5	1	0.8	5	6	431	0.70891973
86	0.7	2	1	0.8	5	6	431	0.70891973
91	0.7	2.5	1	0.8	5	6	431	0.70891973
96	0.7	3	1	0.8	5	6	431	0.70891973
101	0.7	3.5	1	0.8	5	6	431	0.70891973
106	0.7	4	1	0.8	5	6	431	0.70891973
111	0.7	4.5	1	0.8	5	6	431	0.70891973
116	0.7	5	1	0.8	5	6	431	0.70891973
82	0.7	1.5	2	0.8	5	6	369	0.60632297
87	0.7	2	2	0.8	5	6	369	0.60632297
92	0.7	2.5	2	0.8	5	6	369	0.60632297
97	0.7	3	2	0.8	5	6	369	0.60632297
102	0.7	3.5	2	0.8	5	6	369	0.60632297
107	0.7	4	2	0.8	5	6	369	0.60632297
112	0.7	4.5	2	0.8	5	6	369	0.60632297
117	0.7	5	2	0.8	5	6	369	0.60632297
83	0.7	1.5	3	0.8	5	5	352	0.60660989
88	0.7	2	3	0.8	5	5	352	0.60660989
93	0.7	2.5	3	0.8	5	5	352	0.60660989
98	0.7	3	3	0.8	5	5	352	0.60660989
103	0.7	3.5	3	0.8	5	5	352	0.60660989
108	0.7	4	3	0.8	5	5	352	0.60660989
113	0.7	4.5	3	0.8	5	5	352	0.60660989
118	0.7	5	3	0.8	5	5	352	0.60660989
84	0.7	1.5	4	0.8	5	5	379	0.78446628
89	0.7	2	4	0.8	5	5	379	0.78446628
94	0.7	2.5	4	0.8	5	5	379	0.78446628
99	0.7	3	4	0.8	5	5	379	0.78446628
104	0.7	3.5	4	0.8	5	5	379	0.78446628
109	0.7	4	4	0.8	5	5	379	0.78446628
114	0.7	4.5	4	0.8	5	5	379	0.78446628
119	0.7	5	4	0.8	5	5	379	0.78446628
85	0.7	1.5	5	0.8	5	7	365	0.76922351
90	0.7	2	5	0.8	5	7	365	0.76922351
95	0.7	2.5	5	0.8	5	7	365	0.76922351
100	0.7	3	5	0.8	5	7	365	0.76922351
105	0.7	3.5	5	0.8	5	7	365	0.76922351
110	0.7	4	5	0.8	5	7	365	0.76922351
115	0.7	4.5	5	0.8	5	7	365	0.76922351
120	0.7	5	5	0.8	5	7	365	0.76922351
121	0.8	1.5	1	0.8	5	6	401	0.68298028
126	0.8	2	1	0.8	5	6	401	0.68298028
131	0.8	2.5	1	0.8	5	6	401	0.68298028
136	0.8	3	1	0.8	5	6	401	0.68298028
141	0.8	3.5	1	0.8	5	6	401	0.68298028
146	0.8	4	1	0.8	5	6	401	0.68298028
151	0.8	4.5	1	0.8	5	6	401	0.68298028
156	0.8	5	1	0.8	5	6	401	0.68298028
122	0.8	1.5	2	0.8	5	6	421	0.70277399
127	0.8	2	2	0.8	5	6	421	0.70277399
132	0.8	2.5	2	0.8	5	6	421	0.70277399
137	0.8	3	2	0.8	5	6	421	0.70277399
142	0.8	3.5	2	0.8	5	6	421	0.70277399
147	0.8	4	2	0.8	5	6	421	0.70277399
152	0.8	4.5	2	0.8	5	6	421	0.70277399
157	0.8	5	2	0.8	5	6	421	0.70277399
123	0.8	1.5	3	0.8	5	7	373	0.69056447
128	0.8	2	3	0.8	5	7	373	0.69056447
133	0.8	2.5	3	0.8	5	7	373	0.69056447
138	0.8	3	3	0.8	5	7	373	0.69056447
143	0.8	3.5	3	0.8	5	7	373	0.69056447
148	0.8	4	3	0.8	5	7	373	0.69056447
153	0.8	4.5	3	0.8	5	7	373	0.69056447
158	0.8	5	3	0.8	5	7	373	0.69056447
124	0.8	1.5	4	0.8	5	6	393	0.7339305
129	0.8	2	4	0.8	5	6	393	0.7339305
134	0.8	2.5	4	0.8	5	6	393	0.7339305
139	0.8	3	4	0.8	5	6	393	0.7339305
144	0.8	3.5	4	0.8	5	6	393	0.7339305
149	0.8	4	4	0.8	5	6	393	0.7339305
154	0.8	4.5	4	0.8	5	6	393	0.7339305
159	0.8	5	4	0.8	5	6	393	0.7339305
125	0.8	1.5	5	0.8	5	7	385	0.72708101
130	0.8	2	5	0.8	5	7	385	0.72708101
135	0.8	2.5	5	0.8	5	7	385	0.72708101
140	0.8	3	5	0.8	5	7	385	0.72708101
145	0.8	3.5	5	0.8	5	7	385	0.72708101
150	0.8	4	5	0.8	5	7	385	0.72708101
155	0.8	4.5	5	0.8	5	7	385	0.72708101
160	0.8	5	5	0.8	5	7	385	0.72708101
161	0.9	1.5	1	0.8	5	5	415	0.71031368
166	0.9	2	1	0.8	5	5	415	0.71031368
171	0.9	2.5	1	0.8	5	5	415	0.71031368
176	0.9	3	1	0.8	5	5	415	0.71031368
181	0.9	3.5	1	0.8	5	5	415	0.71031368
186	0.9	4	1	0.8	5	5	415	0.71031368
191	0.9	4.5	1	0.8	5	5	415	0.71031368
196	0.9	5	1	0.8	5	5	415	0.71031368
162	0.9	1.5	2	0.8	5	5	424	0.71154198
167	0.9	2	2	0.8	5	5	424	0.71154198
172	0.9	2.5	2	0.8	5	5	424	0.71154198
177	0.9	3	2	0.8	5	5	424	0.71154198
182	0.9	3.5	2	0.8	5	5	424	0.71154198
187	0.9	4	2	0.8	5	5	424	0.71154198
192	0.9	4.5	2	0.8	5	5	424	0.71154198
197	0.9	5	2	0.8	5	5	424	0.71154198
163	0.9	1.5	3	0.8	5	5	426	0.7119346
168	0.9	2	3	0.8	5	5	426	0.7119346
173	0.9	2.5	3	0.8	5	5	426	0.7119346
178	0.9	3	3	0.8	5	5	426	0.7119346
183	0.9	3.5	3	0.8	5	5	426	0.7119346
188	0.9	4	3	0.8	5	5	426	0.7119346
193	0.9	4.5	3	0.8	5	5	426	0.7119346
198	0.9	5	3	0.8	5	5	426	0.7119346
164	0.9	1.5	4	0.8	5	5	418	0.71301883
169	0.9	2	4	0.8	5	5	418	0.71301883
174	0.9	2.5	4	0.8	5	5	418	0.71301883
179	0.9	3	4	0.8	5	5	418	0.71301883
184	0.9	3.5	4	0.8	5	5	418	0.71301883
189	0.9	4	4	0.8	5	5	418	0.71301883
194	0.9	4.5	4	0.8	5	5	418	0.71301883
199	0.9	5	4	0.8	5	5	418	0.71301883
165	0.9	1.5	5	0.8	5	5	418	0.71301883
170	0.9	2	5	0.8	5	5	418	0.71301883
175	0.9	2.5	5	0.8	5	5	418	0.71301883
180	0.9	3	5	0.8	5	5	418	0.71301883
185	0.9	3.5	5	0.8	5	5	418	0.71301883
190	0.9	4	5	0.8	5	5	418	0.71301883
195	0.9	4.5	5	0.8	5	5	418	0.71301883
200	0.9	5	5	0.8	5	5	418	0.71301883
