Order	Rt1	St1	Percentile	Rt2	St2	Patterns	Genes	ARI
2	0.9	5	5	0.5	2	5	978	0.5764455
10	0.9	5	5	0.6	2	5	943	0.59763207
18	0.9	5	5	0.7	2	5	852	0.62813519
26	0.9	5	5	0.8	2	5	438	0.69846952
34	0.9	5	5	0.9	2	5	61	0.76883075
4	0.9	5	5	0.5	3	5	978	0.5764455
12	0.9	5	5	0.6	3	5	943	0.59763207
20	0.9	5	5	0.7	3	5	852	0.62813519
28	0.9	5	5	0.8	3	5	438	0.69846952
36	0.9	5	5	0.9	3	5	61	0.76883075
6	0.9	5	5	0.5	4	5	972	0.57611877
14	0.9	5	5	0.6	4	5	937	0.59736821
22	0.9	5	5	0.7	4	5	847	0.62569913
30	0.9	5	5	0.8	4	5	436	0.69741066
38	0.9	5	5	0.9	4	5	61	0.76883075
8	0.9	5	5	0.5	5	5	875	0.58297833
16	0.9	5	5	0.6	5	5	846	0.59496091
24	0.9	5	5	0.7	5	5	768	0.62908258
32	0.9	5	5	0.8	5	5	418	0.71301883
40	0.9	5	5	0.9	5	5	61	0.76883075
